barcode,regex_result,barcode_type
https://me-qr.com/PBBmjffs,https://me-qr.com/PBBmjffs,Unknown
JL-AS000344-3 SN 10344879 NAD A00A865E,10344879,Jnet1
JL-AS000368-3 SN 10357915 NAD A00AEC36,10357915,Jnet1
JL-AS000368-3 SN 10357894 NAD A00AEC0C,10357894,Jnet1
10328035,10328035,Jnet1
JL-AS000368-3 SN 10357983 NAD A00AECBE,10357983,Jnet1
JL-AS000368-3 SN 10357813 NAD A00AEB6A,10357813,Jnet1
JL-AS000368-3 SN 10357963 NAD A00AEC96,10357963,Jnet1
JL-AS000368-3 SN 10358034 NAD A00AED24,10358034,Jnet1
JL-AS000368-3 SN 10357984 NAD A00AECC0,10357984,Jnet1
JL-AS000368-3 SN 10358061 NAD A00AED5A,10358061,Jnet1
10328690,10328690,Jnet1
JL-AS000368-3 SN 10357832 NAD A00AEB90,10357832,Jnet1
JL-AS000368-3  SN 10343328 NAD A00A7A40,10343328,Jnet1
JL-AS000368-3 SN 10357931 NAD A00AEC56,10357931,Jnet1
2201253,2201253,Jnet0
2201255,2201255,Jnet0
7500593,7500593,Jnet0
7501043,7501043,Jnet0
test ,test ,Unknown
7500435,7500435,Jnet0
test3,test3,Unknown
